19159,200,1
18999,399,2
19003,362,1
11894,264,1
7943,264,1
19043,264,2
4693,94,3
19001,287,2
11901,20,3
19001,20,1
4,264,3
4,94,3
18230,399,3
5878,399,3
5878,20,1
11909,399,3
19049,119,3
7727,119,3
11907,94,3
11907,119,3
11907,189,3
3783,94,3
19001,200,1
6527,79,1
19041,79,1
19034,22,2
19043,200,1
8342,119,3
19534,264,1
8324,189,1
19029,94,3
8543,399,3
11910,94,3
19024,20,1
18251,94,3
7974,287,2
19044,119,3
8543,264,3
8543,94,3
502,399,2
7943,200,2
6973,189,1
19030,189,3
19049,399,2
8543,119,3
19042,20,1
4693,20,3
18185,264,3
19003,399,3
19003,189,2
8342,94,3
19001,255,3
7943,287,1
8342,287,2
18251,264,3
18251,200,2
2090,119,3
10265,94,3
19029,94,2
4,189,3
19044,287,3
11901,189,3
19043,255,2
19043,20,3
19001,310,2
19044,94,3
19043,399,1
7974,399,1
19043,264,1
8342,20,1
8342,94,1
7974,119,3
19044,399,3
3783,119,3
5606,134,1
19004,399,2
19004,189,3
15596,20,1
7974,20,2
6128,79,1
19004,362,3
15717,94,3
19001,362,2
5878,200,1
19044,20,1
13880,119,3
13880,94,3
19000,264,2
19004,119,3
18230,94,2
14062,119,3
12411,94,3
19004,20,3
19004,399,3
14223,119,3
19004,20,1
7943,362,3
12414,189,3
19043,94,3
98,310,2
12122,264,2
7974,94,2
18230,119,2
5878,310,2
5878,20,2
19003,189,3
19003,78,3
19003,20,1
19049,362,2
19004,119,2
19004,189,2
7974,119,1
11919,94,3
5120,310,1
5120,255,1
1359,79,1
19003,79,1
19003,20,3
19004,20,2
19004,94,3
19004,264,2
19534,94,3
19035,94,3
14223,94,3
14223,20,3
12411,119,3
6528,20,1
6528,79,1
12416,352,2
19159,399,3
19159,94,3
19043,119,2
19044,264,2
5872,189,3
7333,79,1
4,310,1
19003,399,2
4,20,3
19003,94,2
19043,119,3
19138,94,3
4304,189,3
19004,200,1
6526,20,2
19003,287,2
19027,20,3
19003,310,2
19004,287,2
18230,94,3
18999,16,2
15594,79,1
8917,189,3
13880,264,3
5872,264,3
19011,20,1
19044,79,1
4,264,1
11904,200,1
19004,16,1
15717,399,2
19044,399,1
6527,119,3
6553,200,1
6528,94,1
19044,20,3
6528,94,3
19003,119,1
19004,399,1
18230,20,3
14738,79,1
4,200,1
7645,20,1
13564,264,2
19004,287,3
19004,264,3
19004,264,1
1013,79,1
18231,20,3
18231,94,3
6528,16,1
19043,20,2
15717,399,3
19004,134,3
3736,94,3
5119,79,1
11915,79,1
11915,264,1
15596,20,2
11911,79,1
18230,119,3
4304,119,3
18261,79,1
8342,189,3
11900,399,3
7974,200,1
6788,200,1
16835,79,1
19201,119,3
16398,79,1
19038,310,1
5878,94,1
4,20,2
5925,189,3
5925,94,3
16836,79,1
19013,20,2
15594,264,2
15594,20,1
15594,22,2
15594,119,2
15594,119,1
11894,200,1
19015,264,2
8342,416,3
19004,362,1
19004,362,2
417,20,1
19005,362,1
15596,264,1
14710,94,3
18230,200,1
9900,119,3
19005,399,1
19049,399,3
14223,190,3
14223,189,3
11915,20,3
4,20,1
4,287,2
10091,119,3
8342,16,1
8342,119,2
6754,200,1
19013,264,2
319,119,3
19004,119,1
19045,119,2
418,200,1
8342,264,2
19004,94,2
19004,22,1
11900,119,3
419,20,1
12411,399,3
8342,20,3
19005,264,1
11915,264,2
15717,20,1
